book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
A_century_of_childrens_books.txt,82132,42436,51.67,18.7,1.47,9.02
A_Modest_Proposal_For_preventing_the.txt,3420,1940,56.73,50.29,1.47,21.35
A_Mothers_List_of_Books_for.txt,48792,24912,51.06,12.76,1.52,7.37
A_Primary_Reader_Old_time_Stories.txt,8791,5806,66.04,10.11,1.23,2.84
Book_of_Mormon_Stories_No_1.txt,11298,7167,63.44,20.57,1.3,7.79
Cautionary_Tales_for_Children.txt,2748,1606,58.44,16.92,1.43,7.87
Chaucer_for_Children_A_Golden_Key.txt,66568,38932,58.48,22.25,1.32,8.63
Childrens_books_and_reading.txt,61191,30489,49.83,16.29,1.55,9.08
Childrens_Books_and_Their_Illustrators.txt,29158,15455,53.0,20.28,1.55,10.63
Childrens_Classics_in_Dramatic_Form_A.txt,25305,14696,58.08,7.91,1.33,3.21
Childrens_Classics_in_Dramatic_Form_Book.txt,15762,9556,60.63,7.44,1.25,2.06
Childrens_Hour_with_Red_Riding_Hood.txt,2723,1839,67.54,19.54,1.27,6.96
Childrens_Literature_A_Textbook_of_Sources.txt,386343,244951,63.4,20.23,1.33,7.96
Childrens_Rhymes_Childrens_Games_Childrens_Songs.txt,73479,45788,62.31,22.1,1.34,8.85
Children_Above_180_IQ_Stanford_Binet.txt,90520,47100,52.03,18.62,1.56,10.08
Children_in_Prison_and_Other_Cruelties.txt,4145,2487,60.0,17.73,1.46,8.56
Children_of_the_Bush.txt,87553,52998,60.53,18.88,1.3,7.13
