book,total_words,common_count,percentage_common,ASL,ASW,FKGL_Score
The_War_of_the_Worlds.txt,60422,50719,83.94,18.81,1.41,8.34
The_Will_to_Believe_and_Other.txt,102034,87789,86.04,24.87,1.55,12.43
The_Wonderful_Wizard_of_Oz.txt,40718,34738,85.31,18.42,1.26,6.44
The_Works_of_Edgar_Allan_Poe.txt,91156,76474,83.89,22.81,1.5,11.04
The_Yellow_Wallpaper.txt,6125,5448,88.95,15.6,1.29,5.73
Thus_Spake_Zarathustra_A_Book_for.txt,112499,90190,80.17,16.51,1.39,7.3
Twenty_Thousand_Leagues_under_the_Sea.txt,106485,88067,82.7,16.54,1.43,7.71
Ulysses.txt,267753,207827,77.62,13.04,1.4,6.06
Walden_and_On_The_Duty_Of.txt,116520,101114,86.78,28.14,1.38,11.71
We.txt,64398,56741,88.11,13.97,1.4,6.33
Wuthering_Heights.txt,118283,94857,80.19,17.77,1.38,7.58
